Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
346,http://www.ibiblio.org/openvideo/video/umd/anni001.mpg,,,,,0,Documentary,NASA;Space;,00:00:30,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
352,http://www.ibiblio.org/openvideo/video/umd/anni007.mpg,,,,,0,Documentary,NASA;Space;,00:00:53,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
357,http://www.ibiblio.org/openvideo/video/umd/indi001.mpg,,,,,0,Documentary,,00:00:56,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
358,http://www.ibiblio.org/openvideo/video/umd/indi002.mpg,,,,,0,Documentary,,00:00:28,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
359,http://www.ibiblio.org/openvideo/video/umd/indi003.mpg,,,,,0,Documentary,,00:00:35,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
361,http://www.ibiblio.org/openvideo/video/umd/indi005.mpg,,,,,0,Documentary,,00:00:39,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
364,http://www.ibiblio.org/openvideo/video/umd/indi008.mpg,,,,,0,Documentary,,00:00:23,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
365,http://www.ibiblio.org/openvideo/video/umd/indi009.mpg,,,,,0,Documentary,,00:00:16,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
366,http://www.ibiblio.org/openvideo/video/umd/indi010.mpg,,,,,0,Documentary,,00:00:23,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
375,http://www.ibiblio.org/openvideo/video/umd/indi102.mpg,,,,,0,Documentary,,00:00:45,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
376,http://www.ibiblio.org/openvideo/video/umd/indi103.mpg,,,,,0,Documentary,,00:00:57,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
377,http://www.ibiblio.org/openvideo/video/umd/indi104.mpg,,,,,0,Documentary,,00:00:39,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
380,http://www.ibiblio.org/openvideo/video/umd/indi107.mpg,,,,,0,Documentary,,00:00:52,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
383,http://www.ibiblio.org/openvideo/video/umd/indi110.mpg,,,,,0,Documentary,,00:00:40,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
393,http://www.ibiblio.org/openvideo/video/umd/winn001001.mpg,,,,,0,Documentary,NASA;Space;,00:00:59,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
401,http://www.ibiblio.org/openvideo/video/umd/winn001009.mpg,,,,,0,Documentary,NASA;Space;,00:00:53,Yes,Yes,Medium,Spanish,Aerospace Industries Association,"University of Maryland, College of Information Studies",No,1999,University of Maryland
413,http://www.ibiblio.org/openvideo/video/umd/HURR003.mpg,,,,,0,Documentary,Hurricanes;,00:00:12,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
414,http://www.ibiblio.org/openvideo/video/umd/HURR004.mpg,,,,,0,Documentary,Hurricanes;,00:00:48,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
431,http://www.ibiblio.org/openvideo/video/umd/apol001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:58,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
435,http://www.ibiblio.org/openvideo/video/umd/apo13002.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:53,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
436,http://www.ibiblio.org/openvideo/video/umd/apo14001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:32,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
444,http://www.ibiblio.org/openvideo/video/umd/apo15002.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:56,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
445,http://www.ibiblio.org/openvideo/video/umd/apo16001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:59,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
446,http://www.ibiblio.org/openvideo/video/umd/apo16002.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:54,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
448,http://www.ibiblio.org/openvideo/video/umd/apo16004.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:42,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
449,http://www.ibiblio.org/openvideo/video/umd/apo16005.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:23,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
450,http://www.ibiblio.org/openvideo/video/umd/apo16006.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:57,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
461,http://www.ibiblio.org/openvideo/video/umd/moon001.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:57,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
462,http://www.ibiblio.org/openvideo/video/umd/moon001-b.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:58,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
469,http://www.ibiblio.org/openvideo/video/umd/moon008.mpg,,,,,0,Documentary,NASA;Space;Moon;,00:00:34,No,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,0,University of Maryland
474,http://www.ibiblio.org/openvideo/video/umd/wth-02.mpg,,,,,0,Documentary,Hurricanes;,00:00:12,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
475,http://www.ibiblio.org/openvideo/video/umd/wth-03.mpg,,,,,0,Documentary,Hurricanes;,00:00:48,Yes,No,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1999,University of Maryland
541,http://www.ibiblio.org/openvideo/video/cmu/BOR01_001.mpg,,,,,1996,Documentary,,00:00:51,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
551,http://www.ibiblio.org/openvideo/video/cmu/BOR01_011.mpg,,,,,1996,Documentary,,00:00:34,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
561,http://www.ibiblio.org/openvideo/video/cmu/BOR02_010.mpg,,,,,1996,Documentary,,00:00:19,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
571,http://www.ibiblio.org/openvideo/video/cmu/BOR03_010.mpg,,,,,1996,Documentary,,00:00:58,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
572,http://www.ibiblio.org/openvideo/video/cmu/BOR03_011.mpg,,,,,1996,Documentary,,00:00:45,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
583,http://www.ibiblio.org/openvideo/video/cmu/BOR04_011.mpg,,,,,1996,Documentary,,00:00:40,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
584,http://www.ibiblio.org/openvideo/video/cmu/BOR04_012.mpg,,,,,1996,Documentary,,00:00:41,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
585,http://www.ibiblio.org/openvideo/video/cmu/BOR06_001.mpg,,,,,1996,Documentary,,00:00:23,Yes,Yes,Medium,English,Bureau of Reclamation,"Carnegie Mellon University, Informedia Project",Yes,1996,Carnegie Mellon University Informedia Project
