Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
346,http://www.ibiblio.org/openvideo/video/umd/anni001.mpg,,,,,0,Documentary,NASA;Space;,00:00:30,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
347,http://www.ibiblio.org/openvideo/video/umd/anni002.mpg,,,,,0,Documentary,NASA;Space;,00:01:23,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
348,http://www.ibiblio.org/openvideo/video/umd/anni003.mpg,,,,,0,Documentary,NASA;Space;,00:02:22,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
349,http://www.ibiblio.org/openvideo/video/umd/anni004.mpg,,,,,0,Documentary,NASA;Space;,00:02:09,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
350,http://www.ibiblio.org/openvideo/video/umd/anni005.mpg,,,,,0,Documentary,NASA;Space;,00:06:19,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
351,http://www.ibiblio.org/openvideo/video/umd/anni006.mpg,,,,,0,Documentary,NASA;Space;,00:09:13,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
352,http://www.ibiblio.org/openvideo/video/umd/anni007.mpg,,,,,0,Documentary,NASA;Space;,00:00:53,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
353,http://www.ibiblio.org/openvideo/video/umd/anni008.mpg,,,,,0,Documentary,NASA;Space;,00:01:32,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
354,http://www.ibiblio.org/openvideo/video/umd/anni009.mpg,,,,,0,Documentary,NASA;Space;,00:06:50,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
355,http://www.ibiblio.org/openvideo/video/umd/anni010.mpg,,,,,0,Documentary,NASA;Space;,00:17:27,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
356,http://www.ibiblio.org/openvideo/video/umd/anni011.mpg,,,,,0,Documentary,NASA;Space;,00:01:06,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
357,http://www.ibiblio.org/openvideo/video/umd/indi001.mpg,,,,,0,Documentary,,00:00:56,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
358,http://www.ibiblio.org/openvideo/video/umd/indi002.mpg,,,,,0,Documentary,,00:00:28,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
359,http://www.ibiblio.org/openvideo/video/umd/indi003.mpg,,,,,0,Documentary,,00:00:35,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
360,http://www.ibiblio.org/openvideo/video/umd/indi004.mpg,,,,,0,Documentary,,00:01:25,Yes,Yes,Medium,English,National Archives,"University of Maryland, College of Information Studies",No,1998,University of Maryland
