video_id,title,description,genre,keywords,duration,popularity,video_url,image_path
4565,Ariel: Augmenting Paper Engineering Drawings,Ariel: Augmenting Paper Engineering Drawings  (1995) Video demonstration from the 1995 CHI conference.,Educational,Ariel; Paper; Drawings; CHI;,00:11:14,881,https://open-video.org/details.php?videoid=4565,./ovp_all_mp4_files/064.jpg
4564,Organization Overviews and Role Management: Inspiration for Future Desktop Environments,Organization Overviews and Role Management: Inspiration for Future Desktop Environments  (1995) Video demonstration from the 1995 CHI conference.,Educational,Overview; Management; Desktop; CHI;,00:09:39,810,https://open-video.org/details.php?videoid=4564,./ovp_all_mp4_files/052.jpg
4563,A Taxonomy of See-Through Tools: The Video,"A Taxonomy of See-Through Tools: The Video  (1995) Video demonstration from the 1995 CHI conference. At the CHI' 94 conference we presented a new user interface paradigm, the See-Through Interface, that allows movable tools to readily be brought...",Educational,Taxonomy; CHI; Video; See-Through; user interface; transparent; multi-hand; lens; viewing filter; button; menu; control panel; macro,00:08:31,1894,https://open-video.org/details.php?videoid=4563,./ovp_all_mp4_files/chi95_5_06136.gif
6109,NASAConnect - RFTF - Composite and Testing Questions,"NASAConnect - RFTF - Composite and Testing Questions  (2004) NASA Connect Segment answering questions from emails and call-ins.  Two experts sit in to answer questions about future space vehicles, composite materials, and daily uses for those materials.",Educational,NASA Connect; Composite Materials; Space Vehicles; Panel of Experts; X-33; X-34; Unpiloted Test Vehicles;,00:04:46,1394,https://open-video.org/details.php?videoid=6109,./ovp_all_mp4_files/NASARFTF-CompositeAndTestingQuestions_01320.gif
6110,NASAConnect - RFTF - Composite Material Experiment,"NASAConnect - RFTF - Composite Material Experiment  (2004) NASA Connect Segment involving students in an activity that investigates the strenth and deflection of composite material with and without reinforcement.  It reviews vocabulary including polymer, fiber, stress cracks,...",Educational,NASA Connect; Experiment; Students Activity; Strength; Deflection; Composite Material; Reinforcement; Polymer; Fiber; Stress Cracks; Maximum Deflection;,00:06:49,734,https://open-video.org/details.php?videoid=6110,./ovp_all_mp4_files/NASARFTF-CompositeMaterialExperiment_00841.gif
6108,NASAConnect - Recipes For the Future,"NASAConnect - Recipes For the Future  (2004) NASA Connect Video containing five segments as described below. NASA Connect Video answering questions from emails and call-ins.  Two experts sit in to answer questions about future space vehicles,...",Educational,NASA Connect; Composite Material; Chemistry; Scientific Process; Testing; Experimentation; Polymer; Fiber; Space Vehicles; Panel of Experts; X-33; X-34; Unpiloted Test Vehicles; Experiment; Students Activity; Strength; Deflection; Reinforcement; Stress Cracks; Maximum Deflection; Processes; Lightweight material; Testing New Material; Room Temperature; Extreme Temperature; Durability; Chemical Change; Physical Change; New Materials; Recipes;,00:28:15,2755,https://open-video.org/details.php?videoid=6108,./ovp_all_mp4_files/NASAConnect-RecipesForTheFuture_04276.gif
6106,NASAConnect - PW - Surface Conditions Experiment,NASAConnect - PW - Surface Conditions Experiment  (2004) NASA Connect Segment involving students in an activity that investigates how surface conditions influence the coefficient of friction between two surfaces.,Educational,NASA Connect; Student Activity; Friction Coefficient; Ice; Research;,00:06:15,567,https://open-video.org/details.php?videoid=6106,./ovp_all_mp4_files/NASAPW-SurfaceConditionsExperiment_03481.gif
6107,NASAConnect - PW - Weather and Aviation,NASAConnect - PW - Weather and Aviation  (2004) NASA Connect Segment explaining the aviation weather channel and why pilots need to have a continual awareness of the changing nature of the atmosphere on their flight route.,Educational,NASA Connect; Meteorology; Weather Channel; Aviation Safety; Pilot;,00:04:37,1247,https://open-video.org/details.php?videoid=6107,./ovp_all_mp4_files/NASAPW-WeatherAndAviation_00871.gif
6104,NASAConnect - PW - Icy Research,NASAConnect - PW - Icy Research  (2004) NASA Connect Segment that explores the Joint Runway Friction Measurement Program that investigates aircraft losing traction on icy runways.,Educational,NASA Connect; Icy runways; Aircraft; Research; Icing;,00:03:49,1412,https://open-video.org/details.php?videoid=6104,./ovp_all_mp4_files/NASAPW-IcyResearch_02251.gif
6105,NASAConnect - PW - Meteorology,NASAConnect - PW - Meteorology  (2004) NASA Connect Segment that explores meteorology and how it affects aviation safety throughout the National Airspace System. Explains the importance of daily forecasts and tools like satellites to understand complex...,Educational,NASA Connect; Weather; Aviation Safety; Satellites; Forecasts; Meteorology; National Airspace System;,00:07:09,1481,https://open-video.org/details.php?videoid=6105,./ovp_all_mp4_files/NASAPW-Meteorology_01696.gif
6103,NASAConnect - PW - Ice and Aircraft,"NASAConnect - PW - Ice and Aircraft  (2004) NASA Connect Segment that explains how meteorology, specifically icing, effects the ground operations of aircraft. Explores research being conducted to study the effects of icing by using refrigerated wind tunnels.",Educational,NASA Connect; Meteorology; Aircraft; Wind Tunnels; Icing;,00:03:32,1329,https://open-video.org/details.php?videoid=6103,./ovp_all_mp4_files/NASAPW-IceAndAircraft_01979.gif
