Id,MPEG-1,MPEG-2,MPEG-4,QuickTime,RealMedia,Year,Genre,Keywords,Duration,Color,Sound,Amount of Motion,Language,Sponsor,Contributing Organization,Transcript Available,Digitization Date,Digitizing Organization
4565,http://www.ibiblio.org/openvideo/video/chi/chi95_10.mpg,http://www.ibiblio.org/openvideo/video/chi/chi95_10_m2.mpg,http://www.ibiblio.org/openvideo/video/chi/chi95_10_m4.mp4,,,1995,Educational,Ariel; Paper; Drawings; CHI;,00:11:14,Yes,Yes,Low,English,N/A,Assocation for Computing Machinery (ACM),No,1995,"University of North Carolina at Chapel Hill, Interaction Design Lab"
4564,http://www.ibiblio.org/openvideo/video/chi/chi95_9.mpg,http://www.ibiblio.org/openvideo/video/chi/chi95_09_m2.mpg,http://www.ibiblio.org/openvideo/video/chi/chi95_09_m4.mp4,,,1995,Educational,Overview; Management; Desktop; CHI;,00:09:39,Yes,Yes,Low,English,N/A,Assocation for Computing Machinery (ACM),No,1995,"University of North Carolina at Chapel Hill, Interaction Design Lab"
4563,http://www.ibiblio.org/openvideo/video/chi/chi95_5.mpg,http://www.ibiblio.org/openvideo/video/chi/chi95_05_m2.mpg,http://www.ibiblio.org/openvideo/video/chi/chi95_05_m4.mp4,,,1995,Educational,Taxonomy; CHI; Video; See-Through; user interface; transparent; multi-hand; lens; viewing filter; button; menu; control panel; macro,00:08:31,Yes,Yes,Low,English,N/A,Assocation for Computing Machinery (ACM),No,1995,"University of North Carolina at Chapel Hill, Interaction Design Lab"
6109,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg1/NASARFTF-CompositeAndTestingQuestions.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg2/NASARFTF-CompositeAndTestingQuestions.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg4/NASARFTF-CompositeAndTestingQuestions.mp4,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/qt/NASARFTF-CompositeAndTestingQuestions.mov,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/real/NASARFTF-CompositeAndTestingQuestions.ram,2004,Educational,NASA Connect; Composite Materials; Space Vehicles; Panel of Experts; X-33; X-34; Unpiloted Test Vehicles;,00:04:46,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6110,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg1/NASARFTF-CommpositeMaterialExperiment.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg2/NASARFTF-CommpositeMaterialExperiment.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg4/NASARFTF-CommpositeMaterialExperiment.mp4,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/qt/NASARFTF-CompositeMaterialExperiment.mov,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/real/NASARFTF-CommpositeMaterialExperiment.ram,2004,Educational,NASA Connect; Experiment; Students Activity; Strength; Deflection; Composite Material; Reinforcement; Polymer; Fiber; Stress Cracks; Maximum Deflection;,00:06:49,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6108,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg1/NASAConnect-RecipesForTheFuture.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg2/NASAConnect-RecipesForTheFuture.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/mpeg4/NASAConnect-RecipesForTheFuture.mp4,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/qt/NASAConnect-RecipesForTheFuture.mov,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-RecipesForTheFuture/real/NASAConnect-RecipesForTheFuture.ram,2004,Educational,NASA Connect; Composite Material; Chemistry; Scientific Process; Testing; Experimentation; Polymer; Fiber; Space Vehicles; Panel of Experts; X-33; X-34; Unpiloted Test Vehicles; Experiment; Students Activity; Strength; Deflection; Reinforcement; Stress Cracks; Maximum Deflection; Processes; Lightweight material; Testing New Material; Room Temperature; Extreme Temperature; Durability; Chemical Change; Physical Change; New Materials; Recipes;,00:28:15,Yes,Yes,Low,English,NASA,NASA,Yes,2004,Open Video
6106,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg1/NASAPW-SurfaceConditions Experiment.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg2/NASAPW-SurfaceConditions Experiment.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg4/NASAPW-SurfaceConditions Experiment.mp4,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/qt/NASAPW-SurfaceConditions Experiment.mov,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/real/NASAPW-SurfaceConditions Experiment.ram,2004,Educational,NASA Connect; Student Activity; Friction Coefficient; Ice; Research;,00:06:15,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6107,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg1/NASAPW-WeatherAndAviation.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg2/NASAPW-WeatherAndAviation.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg4/NASAPW-WeatherAndAviation.mp4,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/qt/NASAPW-WeatherAndAviation.mov,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/real/NASAPW-WeatherAndAviation.ram,2004,Educational,NASA Connect; Meteorology; Weather Channel; Aviation Safety; Pilot;,00:04:37,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6104,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg1/NASAPW-IcyResearch.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg2/NASAPW-IcyResearch.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg4/NASAPW-IcyResearch.mp4,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/qt/NASAPW-IcyResearch.mov,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/real/NASAPW-IcyResearch.ram,2004,Educational,NASA Connect; Icy runways; Aircraft; Research; Icing;,00:03:49,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
6105,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg1/NASAPW-Meteorology.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg2/NASAPW-Meteorology.mpg,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/mpeg4/NASAPW-Meteorology.mp4,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/qt/NASAPW-Meteorology.mov,http://nasa.ibiblio.org/video/NASAConnect/NASAConnect-PlaneWeather/real/NASAPW-Meteorology.ram,2004,Educational,NASA Connect; Weather; Aviation Safety; Satellites; Forecasts; Meteorology; National Airspace System;,00:07:09,Yes,Yes,Low,English,NASA,NASA,No,2004,Open Video
